Forma,Descripcion
cilindro,Este evento tuvo lugar a principios de otoño. Ocurrió después de una reunión de Boy Scout en la Iglesia Bautista. La iglesia bautista se sienta
círculo,Mi hermano mayor y mi hermana gemela salían del único teatro Edna a aproximadamente la tarde ... teníamos nuestras bicicletas y yo tomé una ruta diferente a casa
ligero,"Como un teniente de Marine St. Flying un avión de combate/ataque de FJB en un ejercicio de noche en solitario en el que estaba en un ""Cleanquot; aeronave sin ordinan"
esfera,Mi padre ahora es mi hermano la niña con nosotros ahora yo mismo y el otro compañero que trabajaba con mi padre si todavía es vivi
disco,Se observó un color naranja brillante que cambia al disco/platillo rojizo de color rojizo sobre las líneas de transmisión de potencia.
disco,Objeto de forma de disco iluminado con luz estrobos
disco,Saucer Zaps Energy de Powerline ya que mi madre embarazada recibe señales mentales para no aprobar información
círculo,Naranja redonda con lo que yo diría fue metal pulido de algún tipo alrededor de los bordes.
bola de fuego,Masa de energía roja /naranja silenciosa flotada por tres de nosotros en el oeste de Carolina del Norte en el S
disco,Disco de plata visto por familiares y vecinos
desconocido,La nave silenciosa en movimiento lento aceleró a un ángulo y velocidad increíbles.
oval,luz verde con forma ovalada sobre mis líneas locales de potencia de iglesia.
círculo,"En octubre, mis años y sobrinos y sobrinos jugaban en el patio trasero. Cuando miramos en la cresta"
disco,El ovni estaba tan cerca que mi batería en el automóvil fue a cero amplificadores deteniendo el motor apagando mis luces y radio.
disco,"Oh, qué noche, dos objetos verdes brillantes en forma de platillo y una esfera brillante y brillante que se desliza sobre el lago."
segundo,"No estoy seguro del mes o año de este avistamiento, pero fue en otoño de OR. Estaba caminando a casa alrededor del anochecer y vio un light l"
otro,La luz nos persiguió.
ligero,Varias luces de ovnis intermitentes sobre la base naval de Charleston en S.C.
ligero,Tres luces extremadamente grandes que cuelgan sobre los árboles cercanos.
oval,Tenía unos seis o siete años y mi familia y yo estábamos sentados al lado de una ventana en casa comiendo cuando un tipo de bola oscura golpeó el viento de la pantalla
otro,Informe canadiense de HBCCUFO: avistamiento piloto de luz inusual.
ligero,Un recuerdo que nunca olvidaré que eso sucedió hace años.
rectángulo,/ Like luna su acorde o lado plano paralelo al horizonte brillo de color rojo naranja brillante completamente silencioso sin características.
cheurón,Mi avistamiento de ovnis ND octubre
oval,Se vieron muy bajas nubes todas las luces de investigación de colores diferentes brillando de las nubes en las casas y las calles. Este evento fue s
desconocido,Esfera sin luces que se mueven por los vecindarios sobre las cimas de los árboles sobre las concurridas calles de Houston.
esfera,Extraña embarcación de cambio de energía pura.
desconocido,Una esfera roja brillante se detuvo y me miró.
ligero, Experiencia con Unkown
mínimo,Fútbol translúcido visto en el aeropuerto de la ciudad
círculo,Vi un objeto Hugh en el cielo con luces colocadas intermitentemente sin hacer que ningún ruido viajara hacia el norte en el cielo nocturno. No tenía una identificación real
otro,Un objeto triangular negro silencioso sin luces se movió sobre nosotros mientras pasamos a nuestro perro a través de un patio de recreo escolar.
formación,Todavía tengo miedo de mirar el cielo por la noche.
triángulo,Tres estrellas comienzan a moverse al azar de detener la dirección de cambio de cambio nuevamente y luego desaparecer
desconocido,Dos testigos adultos están sorprendidos por el sonido de un objeto que se raye por encima de la casa en la que se encuentran.
ligero,Objeto no identificado en la carretera de Mulholland.
desconocido,Un enorme objeto silencioso de forma triangularmente que borró los grados del cielo iluminado por cuatro puntos brillantes.
disco,Artesanía translúcida que no hace sonido mientras se mueve
triángulo,Un amigo y yo estábamos parados en la orilla del sonido de Pamlico mientras observábamos objetos que se movían hacia arriba y hacia abajo para los movimientos de sobre
triángulo,Observamos objetos de alta velocidad de forma triangular
desconocido,"Durante un viaje por carretera a la ciudad de Panamá, un amigo y yo presenciamos que aparecen un par de formaciones de luz luminosa y desaparecen sobre el Golfo."
triángulo,Un hombre emerge de un rayo de luz que brilla en un campo cubierto de hierba por la noche y corre hacia el estacionamiento de Texas Instruments.
formación,FT ovnis alargado estacionario sobre el campo vacante con luces de la ciudad en la parte inferior
desconocido,Negro o gris oscuro. Demasiado grande demasiado bajo demasiado lento demasiado tranquilo para un avión normal.
cigarro,"La luz sobre Peoria IL que se mueve lentamente se detiene en el aire, cambia los cambios de colores en la dirección opuesta y desaparece."
desconocido, Objeto con luces verdes y rojas
minutos,La nave rectangular gigante se asemeja a un portaaviones al revés sobre la carretera cerca de Saratoga NY.
ligero,El objeto redondo de vuelo bajo brillante se acelera silenciosamente al oeste de la ciudad de Arkansas en: pm //.
otro,Gran esfera oxidada
rectángulo,Artesanía triangular iluminada que vuela a alta velocidad de sur a norte
ligero,Objeto parpadeante sobre Charleston SC
esfera,Parecía que atravesó la ladera
triángulo, Los diferentes tipos de clúster delta y uno en un diseño de estrella puntiaguda. Lo siguió durante seis millas.
mínimo,Una pequeña artesanía de quad -lla de color púrpura oscuro flotando - pies en el cielo. Luces encendido objeto: si
ligero,Objeto triangular avistado a muy corta distancia
cilindro,Viajaba hacia el norte en la carretera estatal aproximadamente a millas al sur de Austin MN cuando un objeto cayó directamente sobre mi auto
delta,Estaba parado afuera en Sunset Blvd. en Vine y miré directamente lo que normalmente no hago. Vi tres luces blancas brillantes en un
esfera,Verde brillante que se mueve hacia el norte al noreste. Era verde brillante y un poco claro. Bastante rápido también.
triángulo,"Mientras miraba hacia el cielo, noté una luz brillante que flotaba sobre el cielo. Luego noté un avión a reacción viajando en la misma área y yo"
otro,Forma de cigarro vertical blanco que flota en el cielo oriental.
segundo,Avistamiento de ovnis en Las Vegas cerca del área
cambiando,Objeto oscuro Boomerange visto durante diez minutos flotando sobre la autopista con una luz brillante en el frente que iluminó los campos. Sin jet
bola de fuego,Star mirando en el patio trasero con telescopio y binos. Vio estrella fugaz y una forma oblonga de luz.
cilindro,"Comenzó como puntos de luz amarilla intensa en la formación del triángulo, luego se hizo más grande, se reduce a una sola forma de huevo, muy brillante."
cigarro,Llegué a casa del trabajo una noche y vi un fuego brillante como la pelota entrar en la parte superior de la montaña y iba rápido y luego se detuvo
círculo,Objetos brillantes luces intermitentes rojas y verdes y una luz blanca difusa a un lado de los dos objetos sobre DE
triángulo,Objeto naranja sobre la ciudad.
ligero,grupo de luces centelleantes a gran altitud
huevo,"AT: Por la mañana, mi padre y yo notamos un pequeño objeto estacionario en el cielo."
bola de fuego,Pararse afuera diciendo adiós a los miembros de la familia y señalar a Chem-Trails
cambiando,Muchos objetos brillantes de diferentes colores
desconocido,Vimos en nuestras noticias locales de que en Jefferson City a minutos de nuestra casa se vio una nave recientlicamente. En realidad no hemos observado
otro,Luces brillantes con una agilidad increíble que se ve desde el buzón en el área en la carretera ovni en Nevada durante varias horas.
bola de fuego,Objeto que se mueve erráticamente en el cielo detenido por la luz spot
esfera,El objeto viajaba en silencio al norte -northwest. Tenía forma de V con cinco luces naranjas en el perímetro y una luz blanca en el centro de
círculo,Oval de forma con luces a su alrededor en una neblina con varias luces más pequeñas volando a su alrededor.
ligero,La nave era grande de naranja y con forma ovalada.
ligero,Formación de luz inusual que se mueve extremadamente rápido a través del cielo.
esfera,Cilindro brillante suave
segundo, Luces doradas brillantes que se mueven independientemente sobre la línea de árbol que se queman y se desvanece intermitentemente durante aprox. mínimo
cheurón,Dos objetos que viajan uno al lado del otro pasan cuando uno comienza a zig Zag su camino.
oval,Objeto oscuro en forma de un anochecer después del oeste de Seattle
oval,"Una noche, mi ventana comenzó a parpadear"
mínimos,LargesilentSlowlowow hasta el suelo triángulo de color negro aburrido ovni con luces rojas redondas en sus esquinas que estaban apagadas. Lo dibujé.
otro,Observé un objeto verde significativamente por encima de una casa con la dirección eliminada Dunbar Street.
cilindro,Falling Star Stops dispara docenas de puntos rojos de luz
ligero,Vimos un objeto cuadrado por la noche que tenía un amplificador azul; Luces rojas en las esquinas que se ciernen en el cielo sobre nosotros.
ligero,"Los objetos fueron avistados conduciendo hacia el norte por la autopista en Californias Central Valley después de que la noche cae, no muy lejos "", Kettleman/Fresnoquot; Salir"
desconocido,Artesanía en forma de triángulo manchada volando hacia el oeste al este sobre Mid Town Phoenix on // en: Hours Light Dim sin sounellow
diamante,"Con forma de un bombardero sigiloso como un boomerang como un color triangluar plano-negro, hizo un zumbido profundo, ya sea realmente bajo para"
triángulo,Vimos una luz pura que ocasionalmente se dividió en diferentes luces.
,Observé las noticias de Portland que el transbordador espacial sería visible y fui a Philomath Oregon a lo que se sabía que era la manzana
,La luz cae del cielo
,Luz blanca brillante con un contorno negro a su alrededor moviéndose róticamente y lentamente desde el norte de la banca hacia el este y desapareciendo hacia arriba.
,Grandes luces azules de octágono en la luz del centro rojo de la llanta se ciernen sobre el centro de Cincinnati el jueves de octubre.
,La luz es la verdad
, Óvalos negros en el cielo y una cámara de cine flotante
,Objeto de forma de la esfera con luces blancas brillantes intermitentes
,Los extraterrestres revisan el juego de fútbol local de la escuela secundaria.
,Luz brillante sobre el monte Home AFB
,Pulsante objeto blanco y rojo en el cielo noroeste en grados
,Durante dos noches consecutivas vimos un patrón de luces antes de que nos sorprendiera un descubrimiento en la playa.
,Tres luces brillantes que se acurrucaron juntas las que comenzaron a separarse y desaparecieron.
,Ovni contacta increíble avistamiento cercano
,Triángulo Flying Flying Hovering U.F.O. presenciado sobre Sheraton Hotel en Mahwah NJ. en //.
,Serie de luces blancas rojas verdes blancas esféricas o triangulares SE de Portage La Prairie Manitoba Canadá
,Silenciosamente se acercó a mi cabeza por detrás; Mientras estaba acostado sobre mi espalda. Aproximadamente del tamaño de una miniatura en la longitud de los brazos era un blanco lite
,Nota NUFORC: ¿Posible avistamiento de una estela? Pd
,Objeto rojo flotante
,Bola de plata redonda sólida que pasa a aproximadamente MSL.
,"Mientras conducía mi auto a la mitad de la tarde de un día en el otoño de Hyw, con destino al este, acababa de cruzar el San Rafael / Richmo"
,El cielo estaba claro y los objetos a veces parecían girar lentamente.
, Los objetos estacionarios rojos/naranjas aparecieron sobre el lago Erie en // durante minutos y luego todos desaparecieron de inmediato.
,"Metor o artesanía descendiendo, entonces repentino destello de luz"
,Varios ovnis uno más grande volaron justo sobre el auto.
,Una luz se movió a través del cielo en un camino zig zag y luego se enderezó y salió directamente al espacio en cuestión de segundos.
,"Se trataba de: PM, mi amigo y yo íbamos a salir a los ciervos brillando con mi camión de madrastra y mis amigos. Dejamos su hou"
,"Simétrico redondo con fondo redondo de color blanco brillante, de color blanco, de color bajo más grande que un avión."
,objetos en forma de media luna que acaban de guiñar
,"Te envié un correo electrónico hace días y realmente quiero que me hayan contactado, por favor contácteme lo antes posible, no estoy loco y no es mi esposa por favor c"
,Egg ofo sobre Hollywood Hills y LAX en Los Ángeles CA.
,Ruidos vocales de barco triangular de flash rojo opaco
,Como una agrupación de globos con un ligero brillo para ellos
,Un objeto en forma de rayos con luces naranja y amarilla parpadeando
,Extraña luz sobre East Wenatchee Washington
,"Anoche de octubre de aproximadamente: PM durante unos diez minutos, observé una luz de fuente peculiar en el cielo oriental. Fue en un"
,Un gran platillo plateado iluminado.
,Dos objetos amarillos sentados sobre el campo de maíz en Franklin Indiana
,En forma de diamante con luces múltiples que actuaban como luz disco excepto una. Theone Light era como una estrella de Brite y respiraría
,Se vieron triángulos negros volando por la superficie de la luna llena
,Racha intermitente de luna no se ve en una foto tomada segundos antes.
,Luz extraña que se movía en el cielo
,Grande ... hermoso ... y más brillante que cualquier cosa que haya visto ... qué pequeño me he sentido desde ...
,Objetivo en forma de V brillante volando bajo sin hacer sonido.
,Luz naranja rojiza vista desde Waycross GA. Moviéndose al noroeste y de repente simplemente sale.
,Enormes aviones con luces blancas alineadas diagnósticas se mueven lenta y ruidosamente durante la noche.
,"Este es un seguimiento de mi informe de febrero. El martes pasado, mi esposa y yo nuevamente escuchamos el mismo fuerte rugido que nosotros"
,Lento movimiento sin sonido Triángulo artesanal iluminado sobre el punto McKenzie Alaska.
,Pequeño naranja-blanco quot; starquot; Eso se mueve en círculos hacia abajo y de lado en el cielo nocturno
,Fui secuestrado
,Enorme clúster iluminado en el cielo oriental. Nota NUFORC: Avistamiento de Venus. Pd
,a media milla de De Saint Jhons River Low Flying Sphere a una velocidad lenta sin ruido
,Avistamiento de ovnis en Bakersfield
,Observadas nubes blancas de forma idéntica en azul claro tímido con objeto que se vuelve visible debajo de una nube.
,Triángulo con Llights parpadeando. Luces encendido objeto: si
,Ligera de estrella pero mucho más brillante y más grande al oeste de D-Town PA. Visto contra la puesta de sol. NOTA NUFORC: ¿Contrail ?? Pd
,Pulsing Flash recurrente a intervalos de segundo tiempo a lo largo de la misma trayectoria a lo largo de grados de cielo
,Informe de seguimiento de MUFON Georgia: objeto en forma de esfera de investigación de la investigación de la investigación de la investigación de la investigación de Georgia
,La nave se ve cayendo y desaparece en el aire. NOTA NUFORC: ¿Lanzamiento de misiles ?? No tenemos explicación para el avión. Pd
,Shooting Star sin quemaduras del globo rojo o descenso mantiene una trayectoria constante del sur. NOTA NUFORC: ¿Lanzamiento de misiles ?? Pd
,Un objeto de forma ovalada rondaba y disparaba a través del cielo con luces muy brillantes y luego desapareció. Luces encendido objeto: si
,Gran formación de luces Boomerang sobre el amplificador de Birtway de Houston; Westheimer moviéndose de norte a sur //: pm.
,Luz pulsante brillante sobre el lago Superior.
,Ovni manchado Fleming Colorado
,Patrón de luz que se mueve silenciosamente a través de maniobras rápidas sobre Grove City
,Gran masa de pequeñas luces agrupadas en forma de un gran boomerang sobre el cielo oriental en el norte de Texas.
,Forma triangular que flota con luces intermitentes vista en Colorado
